transaction_id,customer_id,product_id,amount,transaction_date
T8889058,C00094,P0047,99.55,2025-05-20 23:27:00
T9588192,C00090,P0037,121.78,2025-05-20 03:25:00
T5159581,C00039,P0042,107.06,2025-05-20 22:47:00
T5538366,C00075,P0022,398.04,2025-05-20 10:48:00
T1935395,C00078,P0002,144.39,2025-05-20 10:24:00
T2279721,C00007,P0006,372.35,2025-05-20 21:31:00
T6572057,C00052,P0020,164.88,2025-05-20 19:22:00
T2716747,C00075,P0004,54.07,2025-05-20 02:46:00
T8516010,C00042,P0033,390.57,2025-05-20 21:55:00
T8498751,C00038,P0006,343.43,2025-05-20 13:24:00
T8295067,C00083,P0030,73.17,2025-05-20 10:18:00
T3658289,C00052,P0010,327.27,2025-05-20 12:09:00
T8556535,C00077,P0032,385.86,2025-05-20 02:36:00
T9477556,C00069,P0023,84.97,2025-05-20 21:35:00
T4424475,C00055,P0013,63.03,2025-05-20 06:38:00
T9588303,C00039,P0020,59.22,2025-05-20 07:22:00
T8668695,C00053,P0045,154.31,2025-05-20 00:55:00
T7665759,C00084,P0016,138.13,2025-05-20 04:08:00
T9003188,C00052,P0020,162.53,2025-05-20 06:33:00
T2136020,C00050,P0046,489.37,2025-05-20 14:12:00
T2524459,C00062,P0001,210.33,2025-05-20 07:26:00
T1693505,C00031,P0016,180.88,2025-05-20 09:12:00
T8533298,C00001,P0026,111.85,2025-05-20 06:21:00
T2596448,C00036,P0042,383.25,2025-05-20 10:29:00
T1231656,C00016,P0037,204.29,2025-05-20 11:49:00
T9044378,C00020,P0039,417.17,2025-05-20 06:49:00
T7239838,C00074,P0006,444.13,2025-05-20 03:58:00
T4579917,C00005,P0046,76.42,2025-05-20 14:00:00
T9399319,C00023,P0048,91.15,2025-05-20 17:43:00
T7717450,C00002,P0010,110.87,2025-05-20 07:49:00
T7687713,C00081,P0008,437.95,2025-05-20 04:50:00
T5824580,C00081,P0022,378.89,2025-05-20 05:34:00
T7830042,C00014,P0020,257.64,2025-05-20 22:21:00
T3131011,C00078,P0050,258.91,2025-05-20 08:15:00
T5562005,C00078,P0007,247.84,2025-05-20 11:09:00
T7184578,C00011,P0016,390.23,2025-05-20 08:18:00
T2702201,C00077,P0043,248.98,2025-05-20 08:46:00
T4293807,C00077,P0046,206.05,2025-05-20 10:03:00
T7419159,C00055,P0009,40.56,2025-05-20 23:28:00
T1884995,C00034,P0047,471.19,2025-05-20 11:36:00
T4381690,C00039,P0043,463.32,2025-05-20 22:59:00
T7389672,C00029,P0030,496.37,2025-05-20 13:03:00
T4727300,C00075,P0039,244.27,2025-05-20 11:28:00
T4470597,C00014,P0033,100.66,2025-05-20 15:27:00
T5440906,C00028,P0047,118.51,2025-05-20 07:35:00
T2988195,C00086,P0025,399.64,2025-05-20 07:20:00
T6936054,C00040,P0034,324.48,2025-05-20 03:02:00
T1701238,C00040,P0029,48.7,2025-05-20 23:11:00
T8812614,C00048,P0044,471.91,2025-05-20 19:47:00
T5476849,C00042,P0023,321.34,2025-05-20 14:47:00
T5598233,C00031,P0027,410.22,2025-05-20 18:56:00
T3858022,C00068,P0041,483.11,2025-05-20 07:01:00
T8035047,C00020,P0022,377.79,2025-05-20 14:01:00
T6458679,C00013,P0047,63.05,2025-05-20 08:26:00
T4847206,C00014,P0012,140.35,2025-05-20 02:31:00
T7090535,C00045,P0024,175.42,2025-05-20 12:06:00
T7547137,C00071,P0018,22.18,2025-05-20 11:06:00
T5310938,C00010,P0021,487.13,2025-05-20 12:32:00
T1388697,C00052,P0034,260.23,2025-05-20 20:17:00
T8295115,C00051,P0046,302.96,2025-05-20 07:33:00
T8461846,C00005,P0024,330.23,2025-05-20 20:39:00
T7504471,C00076,P0043,113.84,2025-05-20 22:26:00
T2466244,C00040,P0035,408.29,2025-05-20 22:27:00
T6272526,C00097,P0021,411.86,2025-05-20 03:54:00
T3640306,C00057,P0014,246.32,2025-05-20 21:49:00
T3358478,C00029,P0031,21.87,2025-05-20 19:25:00
T5213507,C00008,P0047,93.43,2025-05-20 21:21:00
T5963210,C00011,P0023,252.34,2025-05-20 19:35:00
T8590029,C00062,P0005,284.94,2025-05-20 02:10:00
T6704344,C00018,P0010,15.82,2025-05-20 03:40:00
T1708250,C00090,P0040,335.03,2025-05-20 23:05:00
T1444705,C00059,P0018,106.93,2025-05-20 21:10:00
T3824573,C00042,P0018,491.81,2025-05-20 17:17:00
T9403815,C00043,P0022,430.36,2025-05-20 12:42:00
T9872778,C00041,P0044,462.77,2025-05-20 01:34:00
T9146391,C00045,P0032,312.51,2025-05-20 13:16:00
T1516834,C00092,P0033,54.67,2025-05-20 21:07:00
T6650951,C00099,P0047,465.33,2025-05-20 02:17:00
T3990006,C00085,P0008,137.48,2025-05-20 17:48:00
T6419961,C00019,P0008,167.37,2025-05-20 08:21:00
T2796026,C00099,P0001,298.71,2025-05-20 20:06:00
T2925918,C00016,P0041,265.76,2025-05-20 18:26:00
T1621438,C00072,P0049,44.5,2025-05-20 02:58:00
T4166326,C00089,P0012,275.43,2025-05-20 13:54:00
T5222283,C00059,P0010,497.03,2025-05-20 07:39:00
T8702443,C00015,P0042,254.47,2025-05-20 09:50:00
T5921011,C00052,P0010,400.5,2025-05-20 16:15:00
T4251124,C00070,P0015,241.21,2025-05-20 08:04:00
T1871664,C00047,P0010,353.45,2025-05-20 22:40:00
T3387975,C00056,P0048,125.16,2025-05-20 02:50:00
T5000924,C00026,P0031,494.7,2025-05-20 14:35:00
T4277411,C00023,P0004,134.2,2025-05-20 12:03:00
T8432167,C00067,P0004,189.34,2025-05-20 23:18:00
T9516256,C00073,P0022,159.66,2025-05-20 15:46:00
T6764853,C00095,P0002,21.89,2025-05-20 05:02:00
T3351110,C00054,P0014,261.02,2025-05-20 05:57:00
T3508985,C00024,P0046,278.61,2025-05-20 03:55:00
T5696679,C00086,P0039,270.73,2025-05-20 05:13:00
T5327231,C00010,P0047,424.48,2025-05-20 22:44:00
T9463126,C00092,P0031,128.9,2025-05-20 05:12:00
T1046488,C00028,P0008,306.55,2025-05-20 16:46:00
T8711971,C00098,P0047,411.95,2025-05-20 22:35:00
T1934196,C00095,P0040,334.82,2025-05-20 17:24:00
T7708954,C00002,P0030,191.94,2025-05-20 18:14:00
T4492062,C00083,P0041,285.09,2025-05-20 19:19:00
T6813531,C00064,P0005,444.4,2025-05-20 07:38:00
T5423721,C00061,P0009,435.65,2025-05-20 03:24:00
T9745436,C00083,P0037,440.21,2025-05-20 22:06:00
T1618807,C00014,P0048,217.89,2025-05-20 22:45:00
T3618064,C00053,P0018,487.47,2025-05-20 00:49:00
T3337962,C00005,P0005,141.14,2025-05-20 16:29:00
T9780941,C00051,P0032,101.36,2025-05-20 22:36:00
T1694455,C00001,P0018,352.51,2025-05-20 08:14:00
T7417379,C00035,P0008,100.62,2025-05-20 14:28:00
T9365032,C00027,P0010,407.79,2025-05-20 13:48:00
T9646239,C00066,P0041,78.12,2025-05-20 05:40:00
T5304829,C00002,P0007,384.75,2025-05-20 22:20:00
T1613117,C00056,P0031,204.05,2025-05-20 23:39:00
T8885342,C00068,P0021,179.24,2025-05-20 19:03:00
T6713078,C00011,P0037,204.99,2025-05-20 11:04:00
T4841254,C00057,P0039,153.85,2025-05-20 12:13:00
T3120300,C00071,P0040,167.33,2025-05-20 15:42:00
T1614923,C00050,P0015,43.46,2025-05-20 21:44:00
T3550684,C00072,P0030,229.92,2025-05-20 18:53:00
T3644781,C00069,P0028,203.37,2025-05-20 18:54:00
T3529653,C00073,P0017,295.43,2025-05-20 10:34:00
T7952531,C00090,P0020,267.24,2025-05-20 19:33:00
T6524812,C00021,P0005,125.15,2025-05-20 01:13:00
T2793358,C00050,P0017,31.43,2025-05-20 02:10:00
T5760629,C00042,P0046,359.54,2025-05-20 21:43:00
T6188746,C00045,P0012,7.31,2025-05-20 22:12:00
T5298983,C00051,P0021,464.33,2025-05-20 22:06:00
T9476200,C00006,P0004,232.16,2025-05-20 08:01:00
T5325033,C00069,P0021,239.9,2025-05-20 15:55:00
T1344112,C00074,P0023,255.65,2025-05-20 13:06:00
T9465725,C00097,P0003,11.86,2025-05-20 16:57:00
T4457900,C00085,P0017,251.91,2025-05-20 19:29:00
T3383356,C00052,P0039,441.62,2025-05-20 19:46:00
T2807315,C00007,P0004,309.68,2025-05-20 21:43:00
T1325126,C00096,P0034,200.84,2025-05-20 22:49:00
T7169229,C00048,P0033,364.83,2025-05-20 06:26:00
T6538288,C00085,P0003,154.77,2025-05-20 05:09:00
T6729987,C00053,P0005,367.16,2025-05-20 17:32:00
T5062771,C00073,P0009,352.63,2025-05-20 07:05:00
T6744290,C00050,P0005,43.36,2025-05-20 05:39:00
T4983062,C00070,P0038,254.28,2025-05-20 17:46:00
T4571111,C00072,P0037,345.79,2025-05-20 04:31:00
T3230871,C00090,P0036,359.92,2025-05-20 05:04:00
T5568830,C00041,P0028,433.17,2025-05-20 12:12:00
T4505947,C00007,P0018,257.29,2025-05-20 16:56:00
T1034680,C00058,P0029,455.88,2025-05-20 22:42:00
T6725368,C00088,P0020,9.06,2025-05-20 11:26:00
T2260402,C00002,P0037,262.6,2025-05-20 11:33:00
T8105936,C00054,P0023,414.73,2025-05-20 20:13:00
T9674915,C00090,P0033,52.53,2025-05-20 22:32:00
T7204977,C00012,P0033,347.2,2025-05-20 01:40:00
T6540875,C00084,P0046,414.61,2025-05-20 12:49:00
T1357052,C00072,P0027,380.63,2025-05-20 04:33:00
T2561780,C00051,P0010,26.16,2025-05-20 11:54:00
T2571110,C00036,P0005,406.52,2025-05-20 23:53:00
T1064684,C00015,P0014,126.64,2025-05-20 23:35:00
T4059987,C00074,P0006,118.95,2025-05-20 19:47:00
T8549489,C00062,P0020,33.12,2025-05-20 16:17:00
T6244747,C00069,P0020,132.76,2025-05-20 15:59:00
T9900983,C00072,P0010,135.34,2025-05-20 22:33:00
T6252403,C00003,P0029,246.03,2025-05-20 11:40:00
T2594791,C00083,P0026,391.91,2025-05-20 09:45:00
T5630590,C00080,P0016,105.28,2025-05-20 22:48:00
T4838678,C00046,P0024,235.0,2025-05-20 20:53:00
