transaction_id,customer_id,product_id,amount,transaction_date
T8984565,C00024,P0033,429.43,2025-05-23 20:57:00
T2353081,C00026,P0031,302.03,2025-05-23 08:31:00
T8454447,C00049,P0011,440.49,2025-05-23 00:44:00
T9647001,C00042,P0036,165.3,2025-05-23 11:48:00
T4305946,C00074,P0038,440.95,2025-05-23 18:51:00
T8807699,C00032,P0038,380.84,2025-05-23 11:33:00
T6867730,C00012,P0005,292.5,2025-05-23 16:19:00
T3073431,C00021,P0017,15.82,2025-05-23 22:36:00
T7354648,C00017,P0045,207.18,2025-05-23 10:23:00
T5768786,C00008,P0043,325.96,2025-05-23 15:56:00
T8573270,C00087,P0046,413.62,2025-05-23 08:00:00
T1052630,C00087,P0046,35.33,2025-05-23 02:55:00
T7896923,C00005,P0010,101.09,2025-05-23 23:14:00
T6975831,C00043,P0043,187.15,2025-05-23 12:36:00
T6015405,C00009,P0036,54.66,2025-05-23 18:45:00
T8157113,C00062,P0036,301.08,2025-05-23 05:36:00
T1013595,C00084,P0014,352.05,2025-05-23 17:46:00
T6643085,C00039,P0030,275.43,2025-05-23 02:09:00
T4314893,C00013,P0032,331.92,2025-05-23 14:17:00
T3014980,C00067,P0001,473.72,2025-05-23 07:23:00
T4511571,C00076,P0036,433.66,2025-05-23 11:19:00
T5069184,C00007,P0030,286.82,2025-05-23 05:36:00
T2030259,C00055,P0044,393.74,2025-05-23 12:58:00
T4438387,C00004,P0007,468.01,2025-05-23 00:07:00
T4350040,C00013,P0015,90.54,2025-05-23 15:07:00
T5763410,C00047,P0006,156.14,2025-05-23 00:34:00
T4504783,C00039,P0033,341.96,2025-05-23 17:01:00
T6689522,C00087,P0020,198.15,2025-05-23 11:51:00
T1710463,C00032,P0043,443.09,2025-05-23 23:28:00
T1365398,C00045,P0018,377.55,2025-05-23 17:37:00
T8054981,C00063,P0044,46.55,2025-05-23 04:08:00
T4945610,C00038,P0031,469.33,2025-05-23 23:51:00
T5203020,C00070,P0047,395.02,2025-05-23 01:48:00
T8902011,C00017,P0033,398.39,2025-05-23 17:15:00
T3918857,C00065,P0043,39.51,2025-05-23 14:13:00
T1231332,C00008,P0036,255.64,2025-05-23 16:31:00
T7355330,C00026,P0003,409.87,2025-05-23 11:23:00
T4763819,C00063,P0045,398.81,2025-05-23 21:24:00
T1029442,C00070,P0026,338.41,2025-05-23 03:58:00
T6324244,C00037,P0037,83.49,2025-05-23 15:03:00
T6171279,C00088,P0017,6.83,2025-05-23 10:54:00
T4947538,C00050,P0002,294.56,2025-05-23 01:35:00
T4335743,C00064,P0027,65.97,2025-05-23 13:23:00
T7658082,C00009,P0029,373.41,2025-05-23 23:57:00
T6203993,C00012,P0035,152.83,2025-05-23 08:56:00
T7062451,C00045,P0012,197.21,2025-05-23 09:33:00
T4902711,C00003,P0046,430.93,2025-05-23 15:43:00
T1338689,C00016,P0018,354.85,2025-05-23 08:19:00
T4950785,C00036,P0012,480.68,2025-05-23 00:46:00
T5831555,C00037,P0013,295.49,2025-05-23 04:02:00
T9854637,C00081,P0030,353.98,2025-05-23 18:22:00
T7482191,C00071,P0035,262.02,2025-05-23 12:11:00
T9374035,C00048,P0035,149.08,2025-05-23 21:00:00
T1071115,C00087,P0011,13.99,2025-05-23 10:19:00
T8940434,C00057,P0008,327.99,2025-05-23 23:06:00
T3514890,C00023,P0032,260.99,2025-05-23 04:36:00
T6893248,C00050,P0037,139.95,2025-05-23 02:22:00
T2651211,C00025,P0046,293.32,2025-05-23 02:28:00
T3715575,C00082,P0041,423.47,2025-05-23 20:55:00
T8211743,C00051,P0048,398.72,2025-05-23 03:44:00
T9702422,C00049,P0026,211.04,2025-05-23 23:23:00
T6520427,C00063,P0031,496.91,2025-05-23 02:14:00
T2976107,C00001,P0023,80.28,2025-05-23 16:09:00
T6899964,C00093,P0027,163.73,2025-05-23 10:59:00
T4138347,C00087,P0019,355.34,2025-05-23 12:26:00
T5597898,C00059,P0028,322.18,2025-05-23 10:55:00
T3926506,C00053,P0012,415.98,2025-05-23 05:55:00
T9675682,C00094,P0018,53.15,2025-05-23 06:23:00
T9669008,C00058,P0011,397.05,2025-05-23 10:37:00
T3070202,C00049,P0002,218.92,2025-05-23 19:49:00
T3174866,C00070,P0023,364.59,2025-05-23 07:46:00
T1426259,C00003,P0015,86.26,2025-05-23 10:01:00
T8025564,C00003,P0005,479.81,2025-05-23 23:00:00
T3192244,C00053,P0007,419.88,2025-05-23 14:36:00
T6687691,C00035,P0037,346.23,2025-05-23 04:01:00
T1338740,C00089,P0004,456.44,2025-05-23 19:03:00
T1126244,C00037,P0045,345.56,2025-05-23 22:19:00
T5777526,C00064,P0034,112.85,2025-05-23 07:32:00
T3601161,C00068,P0044,270.69,2025-05-23 09:48:00
T4527637,C00010,P0045,130.23,2025-05-23 08:21:00
T8121333,C00049,P0028,198.35,2025-05-23 05:07:00
T7478973,C00079,P0005,103.32,2025-05-23 11:07:00
T6608532,C00097,P0026,442.58,2025-05-23 11:11:00
T9000965,C00018,P0047,30.98,2025-05-23 18:46:00
T4828527,C00046,P0036,278.09,2025-05-23 15:22:00
T2753340,C00087,P0027,188.93,2025-05-23 04:22:00
T8969589,C00055,P0009,354.44,2025-05-23 19:24:00
T6289996,C00016,P0010,74.39,2025-05-23 18:04:00
T7832668,C00095,P0043,442.59,2025-05-23 21:04:00
T3177289,C00036,P0033,70.36,2025-05-23 19:21:00
T3324255,C00007,P0040,289.62,2025-05-23 01:04:00
T2835371,C00054,P0023,419.95,2025-05-23 04:44:00
T2768780,C00014,P0002,281.55,2025-05-23 21:27:00
T7967282,C00090,P0050,410.68,2025-05-23 14:50:00
T7964436,C00083,P0021,485.35,2025-05-23 15:02:00
T2277139,C00074,P0003,424.41,2025-05-23 04:36:00
T6862126,C00030,P0019,476.3,2025-05-23 07:22:00
T9891088,C00041,P0012,19.41,2025-05-23 21:35:00
T8750324,C00066,P0022,313.74,2025-05-23 01:11:00
T3987841,C00100,P0038,224.98,2025-05-23 21:14:00
T5808520,C00022,P0011,213.34,2025-05-23 05:09:00
T6529881,C00028,P0005,127.25,2025-05-23 09:47:00
T5306516,C00046,P0001,248.59,2025-05-23 03:09:00
T7449350,C00047,P0026,327.67,2025-05-23 05:31:00
T2983584,C00091,P0049,219.8,2025-05-23 15:32:00
T6194986,C00007,P0010,77.57,2025-05-23 19:03:00
T4696522,C00096,P0035,111.79,2025-05-23 10:39:00
T3615291,C00075,P0046,430.22,2025-05-23 07:54:00
T5699498,C00027,P0045,414.11,2025-05-23 19:50:00
T6625155,C00090,P0048,427.57,2025-05-23 05:14:00
T2724814,C00050,P0035,171.41,2025-05-23 16:51:00
T6002453,C00074,P0001,421.48,2025-05-23 13:21:00
T9958101,C00093,P0044,450.81,2025-05-23 13:02:00
T5760370,C00038,P0047,387.38,2025-05-23 02:41:00
T1415009,C00092,P0029,60.21,2025-05-23 14:56:00
T9064464,C00066,P0007,408.95,2025-05-23 17:37:00
T5106189,C00036,P0008,145.71,2025-05-23 17:31:00
T2279394,C00090,P0041,437.53,2025-05-23 17:32:00
T3189647,C00027,P0046,297.04,2025-05-23 16:30:00
T3266627,C00016,P0012,253.78,2025-05-23 21:17:00
T3410561,C00018,P0031,149.78,2025-05-23 00:04:00
T7364987,C00077,P0022,404.49,2025-05-23 07:43:00
T4478734,C00086,P0025,344.38,2025-05-23 05:17:00
T1920486,C00071,P0002,462.98,2025-05-23 13:50:00
T4051700,C00092,P0045,285.67,2025-05-23 19:26:00
T1238130,C00020,P0029,124.02,2025-05-23 09:16:00
T9921570,C00067,P0009,249.47,2025-05-23 22:18:00
T6017748,C00026,P0004,445.55,2025-05-23 05:44:00
T5428628,C00082,P0019,466.74,2025-05-23 06:45:00
T1192026,C00047,P0032,421.4,2025-05-23 17:38:00
T5374945,C00022,P0045,496.75,2025-05-23 21:24:00
T3552983,C00002,P0006,74.89,2025-05-23 09:38:00
T5757061,C00025,P0041,334.98,2025-05-23 19:32:00
T4938346,C00017,P0024,361.73,2025-05-23 07:47:00
T2655073,C00045,P0026,181.27,2025-05-23 13:39:00
T3951701,C00070,P0010,266.43,2025-05-23 15:46:00
T6297206,C00043,P0007,490.82,2025-05-23 07:02:00
T1250887,C00087,P0005,410.0,2025-05-23 16:45:00
T9533120,C00014,P0018,333.75,2025-05-23 19:08:00
T9556781,C00069,P0007,160.75,2025-05-23 01:59:00
T2433353,C00044,P0001,339.9,2025-05-23 10:17:00
T5121696,C00077,P0009,456.0,2025-05-23 07:24:00
T8040475,C00037,P0037,49.67,2025-05-23 15:39:00
T4888045,C00017,P0006,462.99,2025-05-23 21:50:00
T1916233,C00026,P0048,134.15,2025-05-23 11:59:00
T5166382,C00093,P0022,175.86,2025-05-23 08:38:00
T7810236,C00046,P0029,374.34,2025-05-23 18:33:00
T6084953,C00082,P0032,100.77,2025-05-23 04:14:00
T3776517,C00096,P0012,358.99,2025-05-23 01:24:00
T8975644,C00017,P0037,209.87,2025-05-23 05:42:00
T3150660,C00047,P0014,78.37,2025-05-23 18:39:00
